policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
lite_rule_baseline,S0,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.024389246928295912,1091.0847615279567
bc,S0,1000,False,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.06351651222203367,1044.0919322762506
ppo,S0,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,6.662531894630194,0.6662531894630195,0.642499976562566,0.12990561142335103,0.2610746424941528,0.0,0,0.0038039993960410357,360,0,0,0,0,0.0,0.0,0.07312360279583016,1023.9591013448735
bc_dagger,S0,1000,False,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.05969095055322944,1051.907880229155
lite_rule_baseline,S0,1000,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023330849326595786,1105.6697211351566
bc,S0,1000,True,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.05950884147617815,1050.8049252237797
ppo,S0,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,6.662531894630194,0.6662531894630195,0.642499976562566,0.12990561142335103,0.2610746424941528,0.0,0,0.0038039993960410357,360,0,0,0,0,0.0,0.0,0.07178899724446335,1027.7156116083022
bc_dagger,S0,1000,True,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.059928421495950075,1049.922931421336
lite_rule_baseline,S0,1001,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.02355823492409005,1104.6708945939965
bc,S0,1001,False,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.059529481792950964,1051.2640787131054
ppo,S0,1001,False,0,0,0,1,TIMEOUT,18.000000000000014,360,6.662531894630194,0.6662531894630195,0.642499976562566,0.12990561142335103,0.2610746424941528,0.0,0,0.0038039993960410357,360,0,0,0,0,0.0,0.0,0.07192234169855914,1027.3044188083175
bc_dagger,S0,1001,False,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.05940673544105286,1050.3478099685562
lite_rule_baseline,S0,1001,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.022881247009152787,1105.2041132269376
bc,S0,1001,True,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.05929040246594856,1055.5077494929776
ppo,S0,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,6.662531894630194,0.6662531894630195,0.642499976562566,0.12990561142335103,0.2610746424941528,0.0,0,0.0038039993960410357,360,0,0,0,0,0.0,0.0,0.07139788882947566,1031.1008190451016
bc_dagger,S0,1001,True,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.059374470851408116,1046.3128322840225
lite_rule_baseline,S1,1000,False,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.024179548933281458,975.2204332087557
bc,S1,1000,False,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.0624351853556608,934.7297390464257
ppo,S1,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,6.314374326008361,0.6107147607122471,0.6148959204305074,0.1561851355318131,0.4912738876213792,0.0,0,0.002973392838612199,360,0,0,0,0,0.0,0.0,0.07223115561221978,924.8233191172578
bc_dagger,S1,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.05898369718124741,938.315019449888
lite_rule_baseline,S1,1000,True,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.024349641268164978,974.1359854545183
bc,S1,1000,True,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.05965024156671206,941.1731512951719
ppo,S1,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,6.314374326008361,0.6107147607122471,0.6148959204305074,0.1561851355318131,0.4912738876213792,0.0,0,0.002973392838612199,360,0,0,0,0,0.0,0.0,0.0711467555548653,927.2506422699378
bc_dagger,S1,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.059429263900609736,937.7456283033066
lite_rule_baseline,S1,1001,False,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.023614146792407035,982.0720715200013
bc,S1,1001,False,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.06037711240975788,940.3018369870125
ppo,S1,1001,False,0,0,0,1,TIMEOUT,18.000000000000014,360,6.314374326008361,0.6107147607122471,0.6148959204305074,0.1561851355318131,0.4912738876213792,0.0,0,0.002973392838612199,360,0,0,0,0,0.0,0.0,0.07201202774417147,923.3753414129242
bc_dagger,S1,1001,False,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.060026066694263136,931.9324728081025
lite_rule_baseline,S1,1001,True,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.023581690208590335,977.9264566109736
bc,S1,1001,True,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.059538151617744006,943.9509251537387
ppo,S1,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,6.314374326008361,0.6107147607122471,0.6148959204305074,0.1561851355318131,0.4912738876213792,0.0,0,0.002973392838612199,360,0,0,0,0,0.0,0.0,0.07177571387728676,923.7409104107955
bc_dagger,S1,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.05959712775620574,937.024574713925
lite_rule_baseline,S2,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023287945754944587,891.1553486567706
bc,S2,1000,False,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.05949998192218447,855.9488026684
ppo,S2,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,5.4864098720417385,0.5486409872041739,0.37690144655434354,0.16469966858049695,0.3895349855337571,0.0,0,0.0019037069287151098,360,0,0,0,0,0.0,0.0,0.07185827220786854,843.374106182667
bc_dagger,S2,1000,False,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.05883928565828933,858.644675361941
lite_rule_baseline,S2,1000,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023435228943427835,887.4650243158873
bc,S2,1000,True,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.059929500021536956,855.0536050339734
ppo,S2,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,5.4864098720417385,0.5486409872041739,0.37690144655434354,0.16469966858049695,0.3895349855337571,0.0,0,0.0019037069287151098,360,0,0,0,0,0.0,0.0,0.07150487779452103,841.0424019688493
bc_dagger,S2,1000,True,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.05991044978992447,855.8141755492949
lite_rule_baseline,S2,1001,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023759783092039043,886.6548415463393
bc,S2,1001,False,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.06069201212830446,853.8091819724993
ppo,S2,1001,False,0,0,0,1,TIMEOUT,18.000000000000014,360,5.4864098720417385,0.5486409872041739,0.37690144655434354,0.16469966858049695,0.3895349855337571,0.0,0,0.0019037069287151098,360,0,0,0,0,0.0,0.0,0.07114411109796492,845.232871928237
bc_dagger,S2,1001,False,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.05876255031027117,859.7397820545664
