total_timesteps,episode_reward,episode_length,success,collision,safety_cost,minimum_clearance,shield_interventions,policy_loss,value_loss,entropy,approx_kl,eval_success_rate,eval_collision_rate,eval_mean_time
1024,107.8319094698399,175,1,0,0.0,0.642499976562566,0,0.0,0.26009002327919006,0.0,0.0,nan,nan,nan
2048,106.00614703943279,175,1,0,0.0,0.642499976562566,0,0.0,0.03886691853404045,0.0,0.0,nan,nan,nan
3072,106.51052336658502,179,1,0,0.0,0.642499976562566,0,0.0,0.053100407123565674,0.0,0.0,nan,nan,nan
4096,106.63597740998276,178,1,0,0.0,0.642499976562566,0,0.0,0.017575399950146675,0.0,0.0,nan,nan,nan
5120,107.27401237052766,178,1,0,0.0,0.642499976562566,0,0.0,0.01602296344935894,0.0,0.0,0.6666666666666666,0.0,11.833333333333243
6144,105.6798911739627,180,1,0,0.0,0.642499976562566,0,0.0,0.01591620407998562,0.0,0.0,nan,nan,nan
7168,105.97245763694325,177,1,0,0.0,0.6424999987752257,0,0.0,0.007637133821845055,0.0,0.0,nan,nan,nan
8192,105.43586684112269,178,1,0,0.0,0.642499976562566,0,0.0,0.007402850314974785,0.0,0.0,nan,nan,nan
9216,106.25129223844682,178,1,0,0.0,0.642499980582187,0,0.0,0.003585090162232518,0.0,0.0,nan,nan,nan
10240,105.52173550834216,183,1,0,0.0,0.6424999964516688,0,0.0,0.005837696138769388,0.0,0.0,0.6666666666666666,0.0,11.833333333333243
11264,106.22871878821239,179,1,0,0.0,0.6424999998689703,0,-0.05638456717133522,0.005849790759384632,-0.1619795560836792,0.062043387442827225,nan,nan,nan
12288,106.93958529595088,177,1,0,0.0,0.642499976562566,0,-0.004082635045051575,0.010916810482740402,-0.16197144985198975,0.05123969167470932,nan,nan,nan
13312,108.50876146807715,176,1,0,0.0,0.642499976562566,0,0.1221928671002388,0.010032138787209988,-0.16199803352355957,0.030721422284841537,nan,nan,nan
14336,106.768196265606,180,1,0,0.0,0.6424999869702434,0,-0.0556446835398674,0.009999814443290234,-0.16202473640441895,0.01410852000117302,nan,nan,nan
15360,106.13173831149957,179,1,0,0.0,0.6424999871143463,0,-0.030170246958732605,0.006802189163863659,-0.16220521926879883,0.0700477585196495,1.0,0.0,8.999999999999853
16384,104.55558339897647,179,1,0,0.0,0.642499976562566,0,-0.054718248546123505,0.008853268809616566,-0.16226911544799805,0.01523362286388874,nan,nan,nan
17408,106.13080810422942,176,1,0,0.0,0.642499979778682,1,0.05750688910484314,0.011254760436713696,-0.16244566440582275,0.03818487748503685,nan,nan,nan
18432,104.20793828269288,171,1,0,0.0,0.642499976562566,1,-0.1964348554611206,0.008409935981035233,-0.16251373291015625,0.013622782193124294,nan,nan,nan
19456,103.32914232689318,170,1,0,0.0,0.642499976562566,0,0.05683978646993637,0.5174084901809692,-0.16261136531829834,0.01515832170844078,nan,nan,nan
