policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,total_abs_rotation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
lite_rule_baseline,S0,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.03158610856058132,867.4834162340512
bc,S0,1000,False,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.17190367053422606,519.7661686064441
ppo,S0,1000,False,1,0,1,0,,7.849999999999877,157,9.806191133590248,0.9806191133590249,0.642499976562566,0.1659276297164637,0.22514825443185593,0.0,1,0.4166580398917722,7.372533582383767e-05,157,0,0,0,0,0.0,0.0,0.22955680263520123,481.77889954217625
bc_dagger,S0,1000,False,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.4821569236810319,181.72188211054916
lite_rule_baseline,S0,1000,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.04926759030207773,564.6645817185914
bc,S0,1000,True,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.12363770718632335,619.4327186137779
ppo,S0,1000,True,1,0,1,0,,7.849999999999877,157,9.806191133590248,0.9806191133590249,0.642499976562566,0.1659276297164637,0.22514825443185593,0.0,1,0.4166580398917722,7.372533582383767e-05,157,0,0,0,0,0.0,0.0,0.14125694916824585,707.3180554200784
bc_dagger,S0,1000,True,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.10289218814572687,666.4940656283202
lite_rule_baseline,S0,1001,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.037341626428161655,723.880741052736
bc,S0,1001,False,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.09595754272595514,737.4104863995375
