policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,total_abs_rotation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
lite_rule_baseline,S0,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.02401602407452771,1083.6263645115478
bc,S0,1000,False,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.06419157920745641,1034.512667259451
ppo,S0,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,7.256936191959507,0.7256936191959507,0.642499976562566,0.7557263177758503,1.2325050084975073,0.0,1,11.947553569113364,0.00019426681683398783,360,0,0,0,0,0.0,0.0,0.0730405139014086,1019.7431248352921
bc_dagger,S0,1000,False,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.0601319282685277,1040.3248332674352
lite_rule_baseline,S0,1000,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023610487980740034,1091.3851500043404
bc,S0,1000,True,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.059838676783905746,1043.9191357036946
ppo,S0,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,7.256936191959507,0.7256936191959507,0.642499976562566,0.7557263177758503,1.2325050084975073,0.0,1,11.947553569113364,0.00019426681683398783,360,0,0,0,0,0.0,0.0,0.07259014162931028,1019.8938338117732
bc_dagger,S0,1000,True,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.05930026005615528,1040.8656454868128
lite_rule_baseline,S0,1001,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.023451572300232273,1095.6010956042564
bc,S0,1001,False,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.059656274316228344,1046.155220094262
